[2025-01-18 12:38:16,924: INFO: main: welcome to our custom logging]
[2025-01-19 11:49:52,570: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 11:49:52,575: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 11:49:52,577: INFO: common: created directory at: artifacts]
[2025-01-19 11:49:52,579: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 11:49:52,581: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1P3o723370yaxd0UoXS5A8b0xpY--Du09/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 11:52:48,476: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1P3o723370yaxd0UoXS5A8b0xpY--Du09/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 12:37:15,923: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-19 12:37:15,932: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 12:37:15,932: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 12:37:15,932: INFO: common: created directory at: artifacts]
[2025-01-19 12:37:15,932: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 12:37:15,932: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1P3o723370yaxd0UoXS5A8b0xpY--Du09/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 12:40:55,962: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1P3o723370yaxd0UoXS5A8b0xpY--Du09/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 12:41:09,308: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
